一一 逐一
养分 营养
养成工 练习生
养痈成患 养虎遗患
养痈遗患 养痈成患
养精蓄锐 休养生息
养虎伤身 养痈遗患
养虎遗患 放龙入海
兼并 吞并
兼顾 统筹
内乱 内哄 内争
内人 内子 内助
内助 浑家
内哄 内讧
内室 闺阁 闺房
内心 心里
内情 内幕
内涵 内在
内疚 惭愧 汗下 忸怩
内耗 内讧
内行 熟行
内衣 亵服
内里 内中 里面
册封 封爵
册本 书籍
再也不 不再
再接再厉 再接再砺
再版 重版
再见 再会
再起 复兴
再造之恩 二天之德
再醮 改嫁
冒充 假意 假充 假装
冒名行骗 招摇撞骗
冒失 莽撞
冒失鬼 鲁莽汉 失魂鱼
冒昧 唐突
冒死 拼命
冒然 贸然
冒犯 冲克 冲撞 冲犯 触犯 搪突
冗杂 芜杂 烦复
冗赋 杂税
冗长 冗杂
写意 适意
军事机密 戎机
军人 甲士 武士
军功 战功
军器 军火
军械 军器
军火 军械
军装 戎服 戎衣
军队 戎行
农人 农夫
农历 阴历 夏历
农夫 农民
农家子 田舍郎
农民 农人
冠冕堂皇 堂而皇之
冤家路窄 狭路相逢
冤屈 委屈
冥冥 溟溟
冬天 冬季
冬日 冬季
冬烘 腐儒
冬眠 蛰伏
冬衣 寒衣
冰冷 冰凉 严寒 极冷
冰壶秋月 光风霁月
冰天雪地 雪窖冰天
冰清玉洁 不染纤尘
冰炭不洽 水火不容
冰片 龙脑
冰脸 冷面
冲刷 冲洗
冲动 感动 激动
冲撞 抵触触犯
冲毁 冲垮
冲破 打破
决定 决议 决意
决战苦战 死战
决斗 决战
决断 定夺
决死 殊死
决然 毅然
决策 决议计划
决裂 破裂
决议 抉择
冷僻 偏僻
冷嘲热讽 冷言冷语
冷巷 小巷
冷暖自知 心里有数
冷气 凉气
冷淡 冷漠
冷清 冷僻
冷漠 冷酷
冷炙 残羹
冷眼旁观 坐观成败
冷落 萧瑟 萧条 萧索
冷视 漠视
冷酷 冷峭 刻毒
冷静 镇定 默默 冷清
冷风 凉风
净水 清水
凄凉 苦楚
凄切 凄惨
凄惨 惨痛
准假 给假
准备 预备 筹办
准期 如期
准确 精确
准许 准予
凉快 凉爽
凉爽 风凉
凋落 凋谢
凋谢 干枯
凋零 倒退腐败 零落凋落 雕残 枯萎死亡 落莫 残落 凋谢脱落
凌乱 纷乱 混乱
凌云壮志 志薄云霄
凌晨 清晨
凌空 腾空
凌辱 侮辱
凌驾 赶过 超过 超出
减少 削减
减弱 削弱
减退 消退
凑巧 恰巧
凑数其间 碌碌无为
凑近 靠近
凛冽 凛凛
凝望 凝睇
凝神 凝思
凝练 凝炼
凝结 凝聚
凝视 注视 凝望
凝集 凝固 凝聚
几乎 几近
几多 若干好多
几次 几回
凡人 常人
凡是有 凡有
凡间 世间 尘世 尘间
凭仗 仰仗
凭借 凭仗
凭据 凭证
凶恶 凶暴 凶险
凶暴 泼辣
凶残 残暴
凶狠 凶恶
凶猛 凶悍
凶讯 凶信
凶险 阴险
凸起 突出
凸面镜 凸透镜
凹地 洼地
凹面镜 凹透镜
出世 出生避世
出事 失事
出产 生产
出人意表 出人意料
出入 收支
出力异常 特别卖力
出发 动身
出发点 起点
出口成章 七步之才
出场 进场
出声 作声
出头露面 抛头露面
出奇制胜 声东击西
出家 落发
出尔反尔 言而无信
出息 前程
出没无常 神出鬼没
出漏洞 露马脚
出版 出书
出现 泛起
出生 诞生 出身
出生入死 赴汤蹈火 南征北战
出神入化 炉火纯青
出缺 有缺
出色 超卓
出言如山 一言九鼎
出言无状 恶语伤人
出谋划策 出谋献策
出谷迁乔 乔迁之喜
出路 前途
出身 身世
出错 犯错 失足
出阁之喜 于归之喜
出险 脱险
出面 出头具名
击节称赏 拍案叫绝
函牍 尺书 尺简 尺素
刀光剑影 刀光血影
刀刀见血 一针见血 一语破的
刀切斧砍 斩钉截铁 直截了当
刀口上舔血 刀头舔血
刀头之蜜 佛口蛇心
刀山火海 龙潭虎穴
刀锯不辞 死生无惧
刁悍 强悍
刁滑 奸险 奸诈 险诈
刁狡 机诈
刁话 蛮话
分内 份内
分列 排列
分别 别离 划分 离别
分割 朋分
分外 格外 额外 特别
分娩 临蓐
分子 份子
分家 分居 分爨 分炊
分崩离析 四分五裂 支离破碎 土崩瓦解
分布 散布
分开 分隔
分担 分管
分散 涣散 分离
分文不取 一钱不受
分析 剖析 阐明
分歧 不合
分毫不爽 一点不错
分泌 排泄
分派 分拨 分配
分离 离散 星散 分手
分秒必争 争分夺秒
分裂 盘据 割裂
分解 分化
分说 分辩
分身 兼顾 两全
分身不暇 分身乏术
分辨 分辩
分辨差别 分别辨别
分辩 辩白
分道扬镳 各奔前程
分量 份量
分高下 决雌雄
切口 瘦语 暗语
切合 符合
切当 确切
切磋 商讨
切肤之痛 切身痛苦
切谏 直谏
切身 亲身
切题 贴题
切齿痛恨 痛心疾首 切齿腐心
切齿腐心 深恶痛绝
刊出 注销
刊误表 勘误表
刎颈交 生死之交
刑罚 科罚
刑警队 侦缉队
划一 整齐 齐整 同等 齐截
划子 小船
列举 罗列
列队 排队
列阵 排阵
刚好 恰好
刚巧 适值
刚强 坚决 强项 坚定 坚强
刚才 适才
刚正 坚毅刚烈
刚毅 坚毅
刚烈 刚强
创办 开办
创始 开创
创建 建立
创新 立异
